iter	Passed	Remaining
0	56	56643
1	57	28469
2	57	19106
3	58	14456
4	58	11656
5	59	9784
6	59	8433
7	59	7436
8	60	6653
9	60	6016
10	61	5498
11	61	5067
12	61	4699
13	62	4383
14	62	4122
15	63	3893
16	63	3688
17	64	3498
18	64	3327
19	64	3184
20	65	3054
21	65	2926
22	66	2811
23	66	2706
24	66	2608
25	67	2519
26	67	2435
27	67	2359
28	68	2290
29	68	2223
30	69	2166
31	69	2112
32	70	2062
33	70	2009
34	71	1963
35	71	1914
36	71	1868
37	72	1828
38	72	1787
39	72	1748
40	73	1711
41	73	1683
42	74	1649
43	74	1619
44	74	1588
45	75	1560
46	75	1533
47	75	1505
48	76	1483
49	76	1458
50	77	1438
51	77	1416
52	78	1395
53	78	1375
54	78	1355
55	79	1335
56	79	1315
57	79	1297
58	80	1281
59	81	1270
60	81	1254
61	81	1238
62	82	1222
63	82	1209
64	83	1196
65	83	1184
66	84	1174
67	85	1165
68	85	1152
69	86	1145
70	86	1136
71	87	1127
72	88	1118
73	90	1128
74	90	1118
75	91	1111
76	92	1103
77	92	1096
78	93	1091
79	94	1090
80	95	1083
81	95	1073
82	96	1061
83	96	1052
84	96	1043
85	97	1034
86	97	1027
87	98	1025
88	101	1038
89	101	1030
90	102	1023
91	102	1015
92	103	1009
93	103	1001
94	104	995
95	105	993
96	106	986
97	106	980
98	106	972
99	107	969
100	108	966
101	109	966
102	110	961
103	110	954
104	111	949
105	112	946
106	112	942
107	113	937
108	113	931
109	114	924
110	114	917
111	114	911
112	115	904
113	115	898
114	115	892
115	116	886
116	116	879
117	116	873
118	117	868
119	117	863
120	118	858
121	118	851
122	118	846
123	119	841
124	119	836
125	119	831
126	120	825
127	120	820
128	120	815
129	121	810
130	121	805
131	121	801
132	122	796
133	122	791
134	122	787
135	123	783
136	123	779
137	124	775
138	124	771
139	125	767
140	125	764
141	125	759
142	125	754
143	126	750
144	126	746
145	127	743
146	127	739
147	127	735
148	128	732
149	128	728
150	128	725
151	129	721
152	129	718
153	130	714
154	130	711
155	130	708
156	131	704
157	131	701
158	131	697
159	132	694
160	132	690
161	132	687
162	133	684
163	133	682
164	134	678
165	134	675
166	135	673
167	135	670
168	135	667
169	136	664
170	136	661
171	136	658
172	137	655
173	137	652
174	137	649
175	138	647
176	138	644
177	138	641
178	139	639
179	139	636
180	139	633
181	140	630
182	140	628
183	141	625
184	141	622
185	141	620
186	141	617
187	142	614
188	142	612
189	143	609
190	143	607
191	143	604
192	144	602
193	144	600
194	144	598
195	145	596
196	145	593
197	146	591
198	146	588
199	146	586
200	147	584
201	147	582
202	147	580
203	148	578
204	148	575
205	148	573
206	149	571
207	149	569
208	149	566
209	150	564
210	150	562
211	150	560
212	151	558
213	151	557
214	152	555
215	152	553
216	152	551
217	153	549
218	153	547
219	153	545
220	154	543
221	154	541
222	154	539
223	155	537
224	155	536
225	155	534
226	156	532
227	156	530
228	156	528
229	157	527
230	157	525
231	158	523
232	158	521
233	158	519
234	159	517
235	159	516
236	159	514
237	160	512
238	160	511
239	160	509
240	161	507
241	161	505
242	161	504
243	162	502
244	162	500
245	163	499
246	163	498
247	163	496
248	164	494
249	164	493
250	164	491
251	165	490
252	165	488
253	165	487
254	166	485
255	166	484
256	167	483
257	167	482
258	168	481
259	168	479
260	168	478
261	169	476
262	169	474
263	169	473
264	170	472
265	170	470
266	170	469
267	171	467
268	171	466
269	171	464
270	172	463
271	173	463
272	173	462
273	173	460
274	174	459
275	174	458
276	174	456
277	175	455
278	175	454
279	176	452
280	176	451
281	176	450
282	177	448
283	177	447
284	177	446
285	178	444
286	178	443
287	179	443
288	179	442
289	180	441
290	180	440
291	181	438
292	181	437
293	181	436
294	182	435
295	182	433
296	182	432
297	183	431
298	183	429
299	183	428
300	183	427
301	184	425
302	184	424
303	184	423
304	185	422
305	185	420
306	185	419
307	186	418
308	186	416
309	186	415
310	187	414
311	187	413
312	187	411
313	187	410
314	188	409
315	188	407
316	188	406
317	188	405
318	189	403
319	189	402
320	189	401
321	190	400
322	190	398
323	190	397
324	190	396
325	191	395
326	191	393
327	191	392
328	191	391
329	192	390
330	192	389
331	192	388
332	193	387
333	193	386
334	193	384
335	194	383
336	194	382
337	194	381
338	194	380
339	195	379
340	195	377
341	195	376
342	196	375
343	196	374
344	196	373
345	197	372
346	197	371
347	197	370
348	197	368
349	198	367
350	198	366
351	198	365
352	198	364
353	199	363
354	199	362
355	199	361
356	199	360
357	200	359
358	200	358
359	201	357
360	201	356
361	201	355
362	202	354
363	202	353
364	202	352
365	203	351
366	203	350
367	203	349
368	204	348
369	204	348
370	204	347
371	205	346
372	205	345
373	205	344
374	206	343
375	206	342
376	206	341
377	207	340
378	207	339
379	207	338
380	207	337
381	208	336
382	208	336
383	209	335
384	209	334
385	209	333
386	210	332
387	210	331
388	210	330
389	211	330
390	211	329
391	211	328
392	212	327
393	212	326
394	212	325
395	213	324
396	213	324
397	213	323
398	214	323
399	215	322
400	215	322
401	215	321
402	216	320
403	216	319
404	216	318
405	217	317
406	217	317
407	217	316
408	218	315
409	218	314
410	218	313
411	219	312
412	219	312
413	219	311
414	220	310
415	220	309
416	220	308
417	221	308
418	221	307
419	222	306
420	222	305
421	222	305
422	223	304
423	224	304
424	224	303
425	224	302
426	225	301
427	225	301
428	225	300
429	226	299
430	226	298
431	226	298
432	227	297
433	227	296
434	227	295
435	228	295
436	228	294
437	228	293
438	229	292
439	229	292
440	229	291
441	230	290
442	230	289
443	230	289
444	231	288
445	231	287
446	232	287
447	232	286
448	232	285
449	233	284
450	233	284
451	233	283
452	234	282
453	234	281
454	234	281
455	235	280
456	235	279
457	235	279
458	236	278
459	236	277
460	236	276
461	237	276
462	237	275
463	237	274
464	238	273
465	238	273
466	238	272
467	239	271
468	239	270
469	239	270
470	239	269
471	240	268
472	240	268
473	240	267
474	241	266
475	241	265
476	241	265
477	242	264
478	242	263
479	242	262
480	243	262
481	243	261
482	243	260
483	243	260
484	244	259
485	244	258
486	244	257
487	245	257
488	245	256
489	245	255
490	246	255
491	246	254
492	247	254
493	247	253
494	247	252
495	248	252
496	248	251
497	248	250
498	248	249
499	249	249
500	249	248
501	249	248
502	250	247
503	250	246
504	250	245
505	251	245
506	251	244
507	251	243
508	252	243
509	252	242
510	252	242
511	253	241
512	253	240
513	254	240
514	254	239
515	254	239
516	255	238
517	255	237
518	255	237
519	256	236
520	256	235
521	256	235
522	257	234
523	257	233
524	257	233
525	258	232
526	258	231
527	258	231
528	258	230
529	259	229
530	259	229
531	259	228
532	260	227
533	260	227
534	260	226
535	261	226
536	261	225
537	261	224
538	262	224
539	262	223
540	262	222
541	263	222
542	263	221
543	263	221
544	263	220
545	264	219
546	264	219
547	264	218
548	265	217
549	265	217
550	265	216
551	266	215
552	266	215
553	266	214
554	266	214
555	267	213
556	267	212
557	267	212
558	268	211
559	268	210
560	268	210
561	269	209
562	269	209
563	269	208
564	269	207
565	270	207
566	270	206
567	271	206
568	271	205
569	271	205
570	272	204
571	272	203
572	272	203
573	273	202
574	273	202
575	273	201
576	274	201
577	274	200
578	274	199
579	275	199
580	275	198
581	275	198
582	276	197
583	276	197
584	276	196
585	277	195
586	277	195
587	277	194
588	278	194
589	278	193
590	278	192
591	279	192
592	279	191
593	279	191
594	280	190
595	280	190
596	280	189
597	281	188
598	281	188
599	281	187
600	282	187
601	282	186
602	282	186
603	282	185
604	283	184
605	283	184
606	283	183
607	284	183
608	284	182
609	285	182
610	285	181
611	285	181
612	286	180
613	286	180
614	286	179
615	287	179
616	287	178
617	287	177
618	288	177
619	288	176
620	288	176
621	289	175
622	289	175
623	289	174
624	290	174
625	290	173
626	290	173
627	291	172
628	291	171
629	291	171
630	292	170
631	292	170
632	292	169
633	293	169
634	293	168
635	293	168
636	294	167
637	294	167
638	294	166
639	295	166
640	295	165
641	295	164
642	296	164
643	296	163
644	296	163
645	297	162
646	297	162
647	297	161
648	298	161
649	298	160
650	298	160
651	299	159
652	299	159
653	299	158
654	300	158
655	300	157
656	300	157
657	301	156
658	301	156
659	301	155
660	302	154
661	302	154
662	302	153
663	303	153
664	303	152
665	303	152
666	304	152
667	305	151
668	305	151
669	305	150
670	306	150
671	306	149
672	306	149
673	307	148
674	307	148
675	307	147
676	308	146
677	308	146
678	308	145
679	308	145
680	309	144
681	309	144
682	309	143
683	310	143
684	310	142
685	310	142
686	310	141
687	311	141
688	311	140
689	311	140
690	311	139
691	312	138
692	312	138
693	312	137
694	313	137
695	313	136
696	313	136
697	314	135
698	314	135
699	314	134
700	314	134
701	315	133
702	315	133
703	315	132
704	316	132
705	316	131
706	316	131
707	317	130
708	317	130
709	317	129
710	318	129
711	318	128
712	318	128
713	319	127
714	319	127
715	319	126
716	320	126
717	320	125
718	320	125
719	321	124
720	321	124
721	321	123
722	322	123
723	322	122
724	322	122
725	322	121
726	323	121
727	323	120
728	323	120
729	324	119
730	324	119
731	324	118
732	325	118
733	325	117
734	325	117
735	326	117
736	326	116
737	326	116
738	327	115
739	327	115
740	327	114
741	328	114
742	328	113
743	328	113
744	329	112
745	329	112
746	329	111
747	330	111
748	330	110
749	330	110
750	331	109
751	331	109
752	331	108
753	332	108
754	332	107
755	332	107
756	333	106
757	333	106
758	333	105
759	334	105
760	334	105
761	334	104
762	335	104
763	335	103
764	335	103
765	335	102
766	336	102
767	336	101
768	336	101
769	337	100
770	337	100
771	337	99
772	337	99
773	338	98
774	338	98
775	338	97
776	339	97
777	339	96
778	339	96
779	339	95
780	340	95
781	340	94
782	340	94
783	341	93
784	341	93
785	341	93
786	341	92
787	342	92
788	342	91
789	342	91
790	342	90
791	343	90
792	343	89
793	343	89
794	344	88
795	344	88
796	344	87
797	344	87
798	345	86
799	345	86
800	345	85
801	345	85
802	346	84
803	346	84
804	346	83
805	347	83
806	347	83
807	347	82
808	348	82
809	348	81
810	348	81
811	349	80
812	349	80
813	349	79
814	349	79
815	350	78
816	350	78
817	350	78
818	351	77
819	351	77
820	352	76
821	352	76
822	352	75
823	352	75
824	353	74
825	353	74
826	353	74
827	354	73
828	354	73
829	354	72
830	355	72
831	355	71
832	355	71
833	356	70
834	356	70
835	356	70
836	357	69
837	357	69
838	358	68
839	358	68
840	358	67
841	358	67
842	359	66
843	359	66
844	359	66
845	360	65
846	360	65
847	360	64
848	361	64
849	361	63
850	361	63
851	362	62
852	362	62
853	362	62
854	363	61
855	363	61
856	363	60
857	364	60
858	364	59
859	365	59
860	365	58
861	365	58
862	365	58
863	366	57
864	366	57
865	367	56
866	367	56
867	367	55
868	368	55
869	368	55
870	368	54
871	369	54
872	369	53
873	369	53
874	370	52
875	370	52
876	370	52
877	371	51
878	371	51
879	371	50
880	372	50
881	372	49
882	372	49
883	373	48
884	373	48
885	373	48
886	374	47
887	374	47
888	374	46
889	375	46
890	375	45
891	375	45
892	376	45
893	376	44
894	376	44
895	377	43
896	377	43
897	377	42
898	378	42
899	378	42
900	378	41
901	379	41
902	379	40
903	379	40
904	380	39
905	380	39
906	380	39
907	381	38
908	381	38
909	381	37
910	381	37
911	382	36
912	382	36
913	382	36
914	383	35
915	383	35
916	383	34
917	384	34
918	384	33
919	385	33
920	385	33
921	385	32
922	385	32
923	386	31
924	386	31
925	386	30
926	387	30
927	387	30
928	387	29
929	388	29
930	388	28
931	389	28
932	389	27
933	389	27
934	389	27
935	390	26
936	390	26
937	390	25
938	391	25
939	391	25
940	392	24
941	392	24
942	392	23
943	393	23
944	393	22
945	393	22
946	394	22
947	394	21
948	394	21
949	395	20
950	396	20
951	396	20
952	397	19
953	397	19
954	397	18
955	398	18
956	398	17
957	398	17
958	399	17
959	399	16
960	399	16
961	400	15
962	400	15
963	400	14
964	401	14
965	401	14
966	401	13
967	402	13
968	402	12
969	402	12
970	403	12
971	403	11
972	404	11
973	404	10
974	404	10
975	405	9
976	405	9
977	405	9
978	406	8
979	406	8
980	406	7
981	407	7
982	407	7
983	407	6
984	408	6
985	408	5
986	408	5
987	409	4
988	409	4
989	409	4
990	410	3
991	410	3
992	410	2
993	411	2
994	411	2
995	411	1
996	412	1
997	412	0
998	412	0
999	413	0
